,0,1,2,3,4,5,region
0,trade,motorcycle,electronic,woman,plastic,vegetable,Africa
1,tertiary,mechanic,appliance,hair,furniture,grow,Africa
2,egg,repair,hardware,clothing,clay,corn,Africa
3,car,spare,phone,dress,material,plantation,Africa
4,red,maintenance,repair,traditional,building,culture,Africa
5,brick,bicycle,electrical,dressmake,window,plant,Africa
6,orange,automobile,device,loinclothes,door,bean,Africa
7,clothes,car,phone,fruit,water,furniture,Asia & Oceania
8,fashion,motorcycle,mobile,restaurant,air,appliance,Asia & Oceania
9,clothing,workshop,electronic,food,cleaning,home,Asia & Oceania
10,woman,repair,computer,vegetable,conditioner,door,Asia & Oceania
11,sewing,spare,repair,juice,washing,kitchen,Asia & Oceania
12,shoe,transportation,card,farm,bottle,plastic,Asia & Oceania
13,bag,oil,recharge,agriculture,recycling,glass,Asia & Oceania
14,car,consultancy,clothing,care,construction,metal,Europe
15,spare,agency,clothes,health,repair,trade,Europe
16,auto,social,textile,cosmetic,renovation,plastic,Europe
17,vehicle,book,woman,therapy,restoration,door,Europe
18,repair,support,footwear,rehabilitation,reconstruction,steel,Europe
19,bicycle,child,fashion,natural,house,work,Europe
20,motor,enterprise,age,supplyment,work,quality,Europe
21,car,footwear,food,stationery,furniture,build,Latin America & Caribbean
22,workshop,clothing,restaurant,web,wood,contractor,Latin America & Caribbean
23,repair,woman,homemade,print,plastic,construction,Latin America & Caribbean
24,computer,clothes,small,notebook,metal,civil,Latin America & Caribbean
25,mechanic,sewing,pastry,advertise,material,engineering,Latin America & Caribbean
26,maintenance,tailor,healthy,network,restoration,house,Latin America & Caribbean
27,appliance,manufacture,fruit,book,manufacture,project,Latin America & Caribbean
28,auto,phone,restaurant,clothes,construction,beauty,North America
29,car,computer,bar,apparel,equipment,salon,North America
30,body,mobile,small,secondhand,rent,hair,North America
31,repair,electrical,food,clothing,house,natural,North America
32,paint,device,beer,small,home,nail,North America
33,mechanic,repair,family,woman,event,care,North America
34,vehicle,electronic,lunch,traditional,industry,health,North America
