,Topic,Count,region,topic_names,topics
0,-1,367,Africa,"['breeding', 'chicken', 'poultry', 'oxen', 'goat', 'sheep', 'fatten', 'husbandry', 'ox', 'animal']","[('breeding', 0.10645716016610576), ('chicken', 0.08199059987305386), ('poultry', 0.08089886133717725), ('oxen', 0.08015766046546562), ('goat', 0.07902883295070327), ('sheep', 0.07871240562536165), ('fatten', 0.07149425322067848), ('husbandry', 0.069967654764444), ('ox', 0.061717679804801286), ('animal', 0.0569316821252439)]"
1,0,239,Africa,"['retail', 'shoe', 'grocery', 'tuckshop', 'secondhand', 'vendor', 'street', 'clothes', 'sweet', 'airtime']","[('retail', 0.10920486766541367), ('shoe', 0.08702403595229734), ('grocery', 0.08292930262319088), ('tuckshop', 0.08075019127127751), ('secondhand', 0.06552113589112339), ('vendor', 0.06391472958350848), ('street', 0.060679324271589036), ('clothes', 0.05811781256143565), ('sweet', 0.0563919257837698), ('airtime', 0.05527590189290794)]"
2,1,168,Africa,"['canteen', 'restaurant', 'bar', 'furniture', 'cafe', 'beer', 'coffee', 'table', 'drink', 'pub']","[('canteen', 0.2241556726081635), ('restaurant', 0.19265396878450305), ('bar', 0.19182821063542072), ('furniture', 0.09246456545337503), ('cafe', 0.08817027073694607), ('beer', 0.06970056269860497), ('coffee', 0.06375446155505844), ('table', 0.06309012215591743), ('drink', 0.04468840128964536), ('pub', 0.04313209079180256)]"
3,2,152,Africa,"['maize', 'plantation', 'gardening', 'vegetable', 'produce', 'market', 'cassava', 'corn', 'banana', 'millet']","[('maize', 0.10663997190490757), ('plantation', 0.09739723763672166), ('gardening', 0.09739723763672166), ('vegetable', 0.08986351507348883), ('produce', 0.08684314932924239), ('market', 0.08471518394770766), ('cassava', 0.08292819357521498), ('corn', 0.07700861169723903), ('banana', 0.07700861169723903), ('millet', 0.06544622390692563)]"
4,3,118,Africa,"['food', 'cater', 'catering', 'fish', 'pastry', 'fresh', 'cook', 'bakery', 'cake', 'lunch']","[('food', 0.11152231014285025), ('cater', 0.10476956514123897), ('catering', 0.09244373394815204), ('fish', 0.0906074516582131), ('pastry', 0.06642004479918483), ('fresh', 0.06555919815278323), ('cook', 0.061915559301523156), ('bakery', 0.06049516118342274), ('cake', 0.060007456783338575), ('lunch', 0.04518219578299431)]"
5,4,104,Africa,"['salon', 'hair', 'beauty', 'hairdresser', 'barber', 'manicure', 'treatment', 'spa', 'massage', 'cut']","[('salon', 0.25486797508713516), ('hair', 0.20253804388749708), ('beauty', 0.18877992891780543), ('hairdresser', 0.13251702403703092), ('barber', 0.1000204675564731), ('manicure', 0.05761284466971237), ('treatment', 0.048888635944962885), ('spa', 0.048888635944962885), ('massage', 0.048888635944962885), ('cut', 0.048888635944962885)]"
0,-1,420,Asia & Oceania,"['beverage', 'food', 'restaurant', 'coffee', 'drink', 'cater', 'travel', 'tea', 'living', 'hotel']","[('beverage', 0.16061849874850484), ('food', 0.11787147207389835), ('restaurant', 0.09342101653855721), ('coffee', 0.08457969503523022), ('drink', 0.05789750097857856), ('cater', 0.04459928239527798), ('travel', 0.04386464373308192), ('tea', 0.04106065594114763), ('living', 0.03741024972712106), ('hotel', 0.03536978703342672)]"
1,0,418,Asia & Oceania,"['trade', 'household', 'retail', 'city', 'province', 'nang', 'hcm', 'grocery', 'clothes', 'common']","[('trade', 0.05949530085973823), ('household', 0.05396489295096812), ('retail', 0.0494708823697197), ('city', 0.04655166801032235), ('province', 0.046259755487675115), ('nang', 0.04382249420635096), ('hcm', 0.04340902739073294), ('grocery', 0.04235744296920132), ('clothes', 0.032292654775760585), ('common', 0.029691339888132478)]"
2,1,413,Asia & Oceania,"['agriculture', 'vegetable', 'farmer', 'cultivation', 'rice', 'snack', 'saler', 'bakery', 'wheat', 'fruit']","[('agriculture', 0.06914081077869165), ('vegetable', 0.06264823939324417), ('farmer', 0.061338057942221566), ('cultivation', 0.059089625522325995), ('rice', 0.05816284013402884), ('snack', 0.050903074348740536), ('saler', 0.045596802458679184), ('bakery', 0.045097883441123365), ('wheat', 0.04458033465469562), ('fruit', 0.044386141020024895)]"
3,2,249,Asia & Oceania,"['tailor', 'fashion', 'shoe', 'sewing', 'clothes', 'lingerie', 'clothing', 'readywear', 'textile', 'woman']","[('tailor', 0.19576631237862083), ('fashion', 0.1315628428273287), ('shoe', 0.11130094100252418), ('sewing', 0.10936929325373067), ('clothes', 0.10827898468705228), ('lingerie', 0.07069452962396926), ('clothing', 0.06537225117598225), ('readywear', 0.054301608967024705), ('textile', 0.045838549809130893), ('woman', 0.042478940274349695)]"
4,3,223,Asia & Oceania,"['motorcycle', 'car', 'workshop', 'transport', 'tire', 'repair', 'auto', 'oil', 'garage', 'taxi']","[('motorcycle', 0.1671201342426589), ('car', 0.16228877148572357), ('workshop', 0.12776040937690675), ('transport', 0.10675961380516008), ('tire', 0.0990625522035821), ('repair', 0.08242228070922725), ('auto', 0.0647104878817165), ('oil', 0.05915224914114084), ('garage', 0.055432988479514465), ('taxi', 0.04751399012529812)]"
5,4,154,Asia & Oceania,"['construction', 'material', 'aluminum', 'weld', 'manufacture', 'build', 'manufacturing', 'workshop', 'door', 'paint']","[('construction', 0.20096276467081423), ('material', 0.1439231791093253), ('aluminum', 0.13382328806177363), ('weld', 0.11986308809934736), ('manufacture', 0.11474465767459359), ('build', 0.09425010762325857), ('manufacturing', 0.08446869482423021), ('workshop', 0.06698758822360475), ('door', 0.06530888517150645), ('paint', 0.05844823315367537)]"
