,0,1,2,3,4,5,region
0,food,clothing,vegetable,repair,trade,electronic,Africa
1,beer,clothes,chicken,motorcycle,tertiary,appliance,Africa
2,soap,secondhand,raise,mechanic,egg,electrical,Africa
3,cleaning,shoe,rice,car,car,hardware,Africa
4,softdrink,woman,grow,spare,red,repair,Africa
5,recreational,hair,cooked,maintenance,brick,phone,Africa
6,drink,retail,fish,bicycle,orange,device,Africa
7,car,woman,coffee,phone,contract,contractor,Asia & Oceania
8,repair,clothes,fruit,mobile,contracting,industry,Asia & Oceania
9,motorcycle,tailor,food,electronic,,sector,Asia & Oceania
10,home,clothing,restaurant,computer,,firm,Asia & Oceania
11,furniture,child,serve,repair,,real,Asia & Oceania
12,water,man,juice,card,,estate,Asia & Oceania
13,rent,fashion,vegetable,recharge,,work,Asia & Oceania
14,computer,furniture,clothing,car,care,vegetable,Europe
15,online,cleaning,trade,repair,health,food,Europe
16,client,wood,craft,spare,cosmetic,cake,Europe
17,individual,construction,metal,auto,therapy,agriculture,Europe
18,internet,recycle,clothes,vehicle,rehabilitation,organic,Europe
19,medium,repair,woman,motor,natural,catering,Europe
20,repair,renovation,textile,bicycle,supplyment,production,Europe
21,car,restaurant,build,cleaning,beauty,craft,Latin America & Caribbean
22,repair,food,contractor,recycle,hairdresser,export,Latin America & Caribbean
23,workshop,homemade,construction,cleaninging,manicure,soap,Latin America & Caribbean
24,footwear,small,industrial,water,treatment,fair,Latin America & Caribbean
25,clothing,bar,civil,wash,spa,online,Latin America & Caribbean
26,manufacture,pastry,engineering,soap,skin,retail,Latin America & Caribbean
27,woman,healthy,house,building,woman,,Latin America & Caribbean
28,auto,beauty,restaurant,phone,cleaning,plastic,North America
29,repair,clothes,bar,computer,cleaninging,recycle,North America
30,paint,salon,water,mobile,cut,recycling,North America
31,car,secondhand,small,repair,supply,material,North America
32,body,clothing,food,electrical,grass,goods,North America
33,construction,woman,family,device,washing,decoration,North America
34,equipment,hair,belizean,electronic,tree,refurbish,North America
