,0,1,2,3,4,5,region
0,construction,clothing,vegetable,goat,food,tuckshop,Africa
1,repair,retail,gardening,chicken,drink,sweet,Africa
2,material,clothes,maize,poultry,beer,grocery,Africa
3,maintenance,shoe,plantation,sheep,beverage,airtime,Africa
4,motorcycle,sewing,market,breedinging,fuel,street,Africa
5,spare,secondhand,cereal,cattle,gas,vendor,Africa
6,school,footware,millet,farming,commodity,small,Africa
7,household,woman,beverage,restaurant,fish,sari,Asia & Oceania
8,trade,tailor,food,cater,farmer,need,Asia & Oceania
9,retail,clothes,coffee,bakery,poultry,goods,Asia & Oceania
10,construction,beauty,drink,pastry,pork,dry,Asia & Oceania
11,city,fashion,water,food,fishing,selling,Asia & Oceania
12,repair,clothing,response,cafe,pig,small,Asia & Oceania
13,province,salon,refill,restaurateur,grill,condiment,Asia & Oceania
14,beauty,construction,restaurant,estate,music,agriculture,Europe
15,clothing,repair,food,financial,training,livestock,Europe
16,furniture,car,bar,care,therapy,dog,Europe
17,salon,engineering,vegetable,real,social,cattle,Europe
18,hairdresser,building,cater,insurance,sport,breedinging,Europe
19,cosmetic,energy,catering,goods,entertainment,farm,Europe
20,craft,industry,cafee,market,fitness,gardening,Europe
21,grocery,cosmetic,salon,clothing,food,convenience,North America
22,basket,beauty,beauty,clothes,dry,,North America
23,store,makeup,hair,secondhand,treat,,North America
24,cart,health,nail,sewing,health,,North America
25,facade,woman,barber,print,,,North America
26,supermarket,sense,makeup,tailor,,,North America
27,spirit,seminar,spa,shirt,,,North America
28,construction,restaurant,clothes,agriculture,health,transport,Latin America & Caribbean
29,car,food,clothing,fruit,educational,transportation,Latin America & Caribbean
30,workshop,grocery,manufacture,commercialization,school,logistics,Latin America & Caribbean
31,manufacturing,fastfood,tailor,wholesale,psychological,freight,Latin America & Caribbean
32,craft,bar,sewing,organic,center,truck,Latin America & Caribbean
33,maintenance,juice,woman,plant,child,essential,Latin America & Caribbean
34,electrical,coffee,footwear,landscape,adult,aggregate,Latin America & Caribbean
