,0,1,2,3,4,5,region
0,clothing,vegetable,building,repair,trade,electronic,Africa
1,clothes,chicken,sector,motorcycle,tertiary,appliance,Africa
2,woman,cake,plastic,car,egg,electrical,Africa
3,secondhand,flour,secondary,mechanic,car,repair,Africa
4,shoe,raise,clay,spare,red,hardware,Africa
5,retail,rice,furniture,maintenance,chicken,phone,Africa
6,food,grow,material,bicycle,brick,computer,Africa
7,repair,contract,contractor,online,refuse,green,Asia & Oceania
8,woman,contracting,industry,free,detail,housewingare,Asia & Oceania
9,car,,sector,user,lottery,house,Asia & Oceania
10,clothes,,firm,information,respondent,resmle,Asia & Oceania
11,phone,,real,load,gift,tech,Asia & Oceania
12,accessory,,estate,rice,far,,Asia & Oceania
13,mobile,,work,different,share,,Asia & Oceania
14,repair,car,beauty,bar,energy,rental,Europe
15,trade,repair,salon,pub,electronic,rent,Europe
16,furniture,spare,artist,outdoor,electricity,property,Europe
17,online,auto,include,self,light,let,Europe
18,cleaning,vehicle,cosmetic,coffee,saving,apartment,Europe
19,clothing,motor,treatment,irish,electrical,house,Europe
20,individual,bicycle,female,turn,consumption,real,Europe
21,car,beauty,professional,garage,software,online,Latin America & Caribbean
22,repair,hairdresser,animal,car,electronic,home,Latin America & Caribbean
23,workshop,manicure,,,technology,communication,Latin America & Caribbean
24,craft,treatment,,,offer,unwilling,Latin America & Caribbean
25,build,spa,,,app,article,Latin America & Caribbean
26,manufacture,skin,,,digital,medium,Latin America & Caribbean
27,food,woman,,,target,appear,Latin America & Caribbean
28,repair,cleaning,furniture,firm,goods,great,North America
29,small,plastic,refurbish,low,tech,,North America
30,auto,cleaninging,comfortable,agency,quality,,North America
31,beauty,recycle,repair,advertising,think,,North America
32,restaurant,recycling,build,client,price,,North America
33,clothes,goods,list,,,,North America
34,water,material,internet,,,,North America
