,0,1,2,3,4,5,region
0,clothing,trade,beer,motorcycle,vegetable,electronic,Africa
1,secondhand,tertiary,softdrink,repair,rice,appliance,Africa
2,woman,egg,recreational,mechanic,grow,hardware,Africa
3,clothes,car,food,spare,cooked,phone,Africa
4,hair,red,drink,maintenance,fish,repair,Africa
5,retail,brick,restaurant,bicycle,plant,electrical,Africa
6,goods,orange,vehicle,automobile,corn,device,Africa
7,woman,coffee,car,phone,furniture,water,Asia & Oceania
8,clothes,fruit,motorcycle,mobile,appliance,air,Asia & Oceania
9,fashion,restaurant,workshop,electronic,home,cleaning,Asia & Oceania
10,salon,food,repair,computer,door,conditioner,Asia & Oceania
11,clothing,serve,spare,repair,kitchen,washing,Asia & Oceania
12,beauty,juice,transportation,card,manufacture,bottle,Asia & Oceania
13,sewing,vegetable,oil,recharge,plastic,recycling,Asia & Oceania
14,furniture,computer,car,consultancy,clothing,cleaning,Europe
15,wood,online,spare,agency,clothes,recycle,Europe
16,construction,mobile,auto,social,textile,recycling,Europe
17,repair,internet,repair,book,woman,appliance,Europe
18,renovation,application,vehicle,child,footwear,household,Europe
19,work,technology,bicycle,support,fashion,cleaninging,Europe
20,production,phone,motor,enterprise,child,plumbing,Europe
21,car,footwear,food,stationery,furniture,cleaning,Latin America & Caribbean
22,workshop,clothing,restaurant,social,wood,recycle,Latin America & Caribbean
23,repair,woman,homemade,internet,plastic,cleaninging,Latin America & Caribbean
24,computer,clothes,small,care,metal,water,Latin America & Caribbean
25,maintenance,sewing,pastry,web,material,wash,Latin America & Caribbean
26,mechanic,tailor,healthy,advertise,restoration,soap,Latin America & Caribbean
27,appliance,manufacture,fruit,notebook,manufacture,building,Latin America & Caribbean
28,auto,phone,restaurant,clothes,construction,shoe,North America
29,car,computer,bar,apparel,equipment,retail,North America
30,repair,mobile,water,secondhand,rent,fruit,North America
31,body,electrical,small,clothing,home,selling,North America
32,paint,repair,food,small,house,purse,North America
33,mechanic,device,beer,woman,event,market,North America
34,vehicle,electronic,family,child,industry,agriculture,North America
