,0,1,2,3,4,5,region
0,clothing,vegetable,food,trade,motorcycle,electronic,Africa
1,secondhand,chicken,beer,tertiary,repair,appliance,Africa
2,woman,raise,softdrink,egg,mechanic,electrical,Africa
3,clothes,rice,recreational,car,spare,hardware,Africa
4,hair,grow,drink,red,maintenance,phone,Africa
5,retail,cooked,restaurant,brick,car,repair,Africa
6,goods,fish,vehicle,orange,bicycle,device,Africa
7,woman,water,car,coffee,phone,client,Asia & Oceania
8,clothes,furniture,motorcycle,fruit,mobile,support,Asia & Oceania
9,clothing,air,workshop,restaurant,electronic,industry,Asia & Oceania
10,child,home,repair,food,computer,administrative,Asia & Oceania
11,man,appliance,spare,serve,repair,remediation,Asia & Oceania
12,fashion,cleaning,transportation,juice,card,ordinary,Asia & Oceania
13,salon,kitchen,oil,vegetable,recharge,bussine,Asia & Oceania
14,furniture,clothing,consultancy,computer,car,care,Europe
15,cleaning,metal,agency,online,spare,health,Europe
16,wood,trade,social,mobile,repair,cosmetic,Europe
17,construction,clothes,school,internet,auto,therapy,Europe
18,recycle,textile,book,application,vehicle,rehabilitation,Europe
19,repair,woman,child,technology,bicycle,natural,Europe
20,renovation,footwear,support,repair,motor,supplyment,Europe
21,car,footwear,stationery,food,build,cleaning,Latin America & Caribbean
22,workshop,clothing,social,restaurant,contractor,recycle,Latin America & Caribbean
23,repair,furniture,internet,homemade,construction,cleaninging,Latin America & Caribbean
24,computer,woman,commerce,small,industrial,water,Latin America & Caribbean
25,maintenance,manufacture,care,pastry,civil,wash,Latin America & Caribbean
26,mechanic,clothes,firm,healthy,engineering,soap,Latin America & Caribbean
27,appliance,sewing,web,fruit,house,building,Latin America & Caribbean
28,clothes,auto,restaurant,phone,construction,beauty,North America
29,secondhand,repair,bar,computer,equipment,salon,North America
30,clothing,car,water,mobile,rent,hair,North America
31,shoe,body,small,electrical,home,natural,North America
32,woman,paint,food,repair,house,nail,North America
33,retail,mechanic,family,device,handcraft,care,North America
34,small,vehicle,beer,electronic,event,health,North America
