,0,1,2,3,4,5,region
0,repair,tuckshop,plantation,clothes,salon,cafe,Africa
1,maintenance,sweet,produce,shoe,hair,beer,Africa
2,material,grocery,vegetable,clothing,hairdresser,table,Africa
3,motorcycle,street,mill,secondhand,beauty,beverage,Africa
4,spare,vendor,cereal,print,massage,pub,Africa
5,mechanic,small,garden,dress,hairdressing,hire,Africa
6,building,airtime,millet,loinclothe,manicure,kiosk,Africa
7,clothes,car,grocery,real,sari,restaurant,Asia & Oceania
8,woman,repair,food,estate,goods,bath,Asia & Oceania
9,clothing,motorcycle,living,consultancy,condiment,large,Asia & Oceania
10,online,auto,bakery,financial,need,secure,Asia & Oceania
11,cosmetic,workshop,softdrink,industry,selling,canteen,Asia & Oceania
12,sewing,common,deliver,consultancyant,house,demand,Asia & Oceania
13,beauty,motor,fastfood,agency,ingredient,food,Asia & Oceania
14,food,restaurant,clothing,construction,beauty,agriculture,Europe
15,vegetable,pub,textile,building,salon,machinery,Europe
16,fruit,cater,clothes,build,cosmetic,forestry,Europe
17,production,music,fashion,house,hairdresser,rural,Europe
18,meat,catering,woman,work,hair,farm,Europe
19,livestock,bar,child,flat,florist,tourism,Europe
20,agriculture,hospitality,brand,restoration,nail,farmer,Europe
21,repair,food,food,clothing,beauty,fruit,North America
22,workshop,run,restaurant,clothes,salon,vegetable,North America
23,design,night,meat,secondhand,cosmetic,agriculture,North America
24,computer,treat,chicken,woman,makeup,stall,North America
25,water,dry,puerto,traditional,nail,banana,North America
26,real,health,rican,tailor,hair,organic,North America
27,laundry,home,seafood,designer,hairstyle,fresh,North America
28,clothes,fastfood,agriculture,clothing,stall,car,Latin America & Caribbean
29,laundry,restaurant,yewerly,manufacture,food,workshop,Latin America & Caribbean
30,clothing,food,plant,woman,,bookstore,Latin America & Caribbean
31,secondhand,production,landscape,man,,washing,Latin America & Caribbean
32,outer,chicken,grain,footwear,,motorcycle,Latin America & Caribbean
33,inner,meat,nursery,social,,library,Latin America & Caribbean
34,trade,organic,contribute,shoe,,wash,Latin America & Caribbean
