,0,1,2,3,4,5,region
0,trade,woman,motorcycle,electronic,vegetable,secondhand,Africa
1,tertiary,hair,mechanic,appliance,grow,clothes,Africa
2,egg,clothing,repair,hardware,corn,retail,Africa
3,red,dress,maintenance,electrical,plantation,goods,Africa
4,car,traditional,spare,computer,culture,clothing,Africa
5,brick,dressmake,automobile,device,plant,toiletry,Africa
6,orange,loinclothes,bicycle,repair,bean,shoe,Africa
7,clothes,phone,car,water,salon,apartment,Asia & Oceania
8,fashion,mobile,motorcycle,air,beauty,rent,Asia & Oceania
9,clothing,electronic,workshop,cleaning,perfume,building,Asia & Oceania
10,woman,computer,repair,conditioner,makeup,house,Asia & Oceania
11,sewing,repair,spare,washing,flower,construction,Asia & Oceania
12,shoe,card,oil,bottle,woman,build,Asia & Oceania
13,bag,recharge,change,recycling,treatment,material,Asia & Oceania
14,car,social,clothing,construction,care,cleaning,Europe
15,garage,book,clothes,repair,therapy,household,Europe
16,auto,child,textile,renovation,health,appliance,Europe
17,repair,web,woman,restoration,rehabilitation,plumbing,Europe
18,vehicle,page,fashion,reconstruction,natural,cleaninging,Europe
19,mechanic,marketing,age,house,coach,office,Europe
20,motor,school,child,work,different,water,Europe
21,car,clothing,computer,restaurant,build,cleaning,Latin America & Caribbean
22,workshop,clothes,appliance,homemade,contractor,cleaninging,Latin America & Caribbean
23,mechanic,sewing,domestic,small,construction,water,Latin America & Caribbean
24,motorcycle,tailor,maintenance,pastry,civil,wash,Latin America & Caribbean
25,repair,woman,electrical,food,engineering,soap,Latin America & Caribbean
26,transport,manufacture,repair,delivery,house,building,Latin America & Caribbean
27,transportation,apparel,equipment,gneral,project,dry,Latin America & Caribbean
28,auto,phone,apparel,restaurant,rent,beauty,North America
29,car,computer,clothing,small,construction,salon,North America
30,body,mobile,clothes,food,house,hair,North America
31,repair,electrical,woman,lunch,home,natural,North America
32,paint,device,small,family,event,nail,North America
33,mechanic,electronic,traditional,breakfast,equipment,care,North America
34,vehicle,repair,child,cater,rental,health,North America
